id,District,province_id
1,Taplejung,1
2,Panchthar,1
3,Ilam,1
4,Jhapa,1
5,Tehrathum,1
6,Sankhuwasabha,1
7,Dhankuta,1
8,Morang,1
9,Sunsari,1
10,Bhojpur,1
11,Udayapur,1
12,Khotang,1
13,Solukhumbu,1
14,Okhaldhunga,1
15,Saptari,2
16,Siraha,2
17,Dhanusha,2
18,Mahottari,2
19,Sarlahi,2
20,Rautahat,2
21,Bara,2
22,Parsa,2
23,Dolakha,3
24,Ramechhap,3
25,Sindhuli,3
26,Sindhupalchowk,3
27,Kavrepalanchok,3
28,Kathmandu,3
29,Lalitpur,3
30,Bhaktapur,3
31,Rasuwa,3
32,Nuwakot,3
33,Makawanpur,3
34,Dhading,3
35,Chitwan,4
36,Gorkha,4
37,Lamjung,4
38,Tanahun,4
39,Nawalpur,4
40,Manang,4
41,Mustang,4
42,Kaski,4
43,Parbat,4
44,Syangja,4
45,Myagdi,4
46,Baglung,5
47,Parasi,5
48,Palpa,5
49,Gulmi,5
50,Arghakhanchi,5
51,Rupandehi,5
52,Kapilvastu,5
53,Pyuthan,5
54,Eastern Rukum,5
55,Rolpa,5
56,Dang,5
57,Banke,5
58,Bardiya,6
59,Dolpa,6
60,Mugu,6
61,Humla,6
62,Jumla,6
63,Western Rukum,6
64,Jajarkot,6
65,Kalikot,6
66,Dailekh,6
67,Surkhet,6
68,Salyan,7
69,Bajura,7
70,Achham,7
71,Bajhang,7
72,Darchula,7
73,Baitadi,7
74,Dadeldhura,7
75,Doti,7
76,Kanchanpur,7
77,Kailali,7
